OBJECT_ID,TOP_TRAFFIC_ACCIDENT_OFFENSE,DRIVER_ACTION
90536,ACCIDENT,  
70932,HIT & RUN,IMPROPER BACKING
70933,HIT & RUN,CARELESS DRIVING
70934,ACCIDENT,FOLLOWED TOO CLOSELY
70935,ACCIDENT,IMPROPER BACKING
70936,HIT & RUN,OTHER
90537,ACCIDENT,CARELESS DRIVING
70999,HIT & RUN,OTHER
70937,ACCIDENT,OTHER
70950,HIT & RUN,CARELESS DRIVING
70938,HIT & RUN,CARELESS DRIVING
70951,HIT & RUN,  
70939,HIT & RUN,FOLLOWED TOO CLOSELY
70940,ACCIDENT,CARELESS DRIVING
90538,HIT & RUN,EXCEED SAFE/POSTED SPEED
70941,HIT & RUN,  
70942,HIT & RUN,CARELESS DRIVING
70943,ACCIDENT,CARELESS DRIVING
70944,HIT & RUN,CARELESS DRIVING
90539,ACCIDENT,OTHER
70945,ACCIDENT,  
70946,ACCIDENT,FAILED TO STOP AT SIGNAL
70947,ACCIDENT,CARELESS DRIVING
70948,HIT & RUN,CARELESS DRIVING
70949,ACCIDENT,  
90540,ACCIDENT,FOLLOWED TOO CLOSELY
70953,HIT & RUN,FOLLOWED TOO CLOSELY
70954,ACCIDENT,OTHER
70955,HIT & RUN,RECKLESS DRIVING
90541,ACCIDENT,IMPROPER TURN
90982,ACCIDENT,IMPEDED TRAFFIC
70956,ACCIDENT,TURNED FROM WRONG LANE OR POSITION
70957,ACCIDENT,OTHER
70958,ACCIDENT,CARELESS DRIVING
70960,ACCIDENT,FAILED TO YIELD ROW
90542,ACCIDENT,FAILED TO YIELD ROW
71037,ACCIDENT,EXCEED SAFE/POSTED SPEED
71038,HIT & RUN,OTHER
71039,HIT & RUN,CARELESS DRIVING
71040,ACCIDENT,EXCEED SAFE/POSTED SPEED
71041,ACCIDENT,CARELESS DRIVING
71042,ACCIDENT,EXCEED SAFE/POSTED SPEED
71043,ACCIDENT,EXCEED SAFE/POSTED SPEED
90634,ACCIDENT,OTHER
71044,HIT & RUN,  
71045,ACCIDENT,FAILED TO YIELD ROW
90635,DUI/DUID,CARELESS DRIVING
71046,ACCIDENT,EXCEED SAFE/POSTED SPEED
71047,ACCIDENT,EXCEED SAFE/POSTED SPEED
71048,ACCIDENT,CARELESS DRIVING
71049,DUI/DUID,CARELESS DRIVING
90978,HIT & RUN,CARELESS DRIVING
71050,DUI/DUID,CARELESS DRIVING
71051,HIT & RUN,FOLLOWED TOO CLOSELY
96253,HIT & RUN,OTHER
90636,ACCIDENT,CARELESS DRIVING
71052,ACCIDENT,CARELESS DRIVING
71053,ACCIDENT,CARELESS DRIVING
71054,ACCIDENT,CARELESS DRIVING
71055,ACCIDENT,DISREGARD STOP SIGN
71056,ACCIDENT,EXCEED SAFE/POSTED SPEED
90637,ACCIDENT,FOLLOWED TOO CLOSELY
94419,HIT & RUN,OTHER
71061,ACCIDENT,TURNED FROM WRONG LANE OR POSITION
90638,ACCIDENT,FOLLOWED TOO CLOSELY
71062,ACCIDENT,  
71149,HIT & RUN,CARELESS DRIVING
71063,ACCIDENT,CARELESS DRIVING
71142,ACCIDENT,CARELESS DRIVING
71143,ACCIDENT,LANE VIOLATION
71144,ACCIDENT,FOLLOWED TOO CLOSELY
71145,ACCIDENT,OTHER
71146,ACCIDENT,FAILED TO YIELD ROW
71147,HIT & RUN,  
71148,ACCIDENT,CARELESS DRIVING
90649,ACCIDENT,FAILED TO YIELD ROW
71150,POLICE,OTHER
90650,ACCIDENT,CARELESS DRIVING
71152,HIT & RUN,LANE VIOLATION
71153,ACCIDENT,CARELESS DRIVING
71154,POLICE,FOLLOWED TOO CLOSELY
71155,ACCIDENT,FOLLOWED TOO CLOSELY
90651,ACCIDENT,FAILED TO STOP AT SIGNAL
71156,ACCIDENT,FOLLOWED TOO CLOSELY
71157,ACCIDENT,FOLLOWED TOO CLOSELY
71158,ACCIDENT,CARELESS DRIVING
71159,ACCIDENT,FOLLOWED TOO CLOSELY
71160,ACCIDENT,CARELESS DRIVING
90726,ACCIDENT,OTHER
71161,ACCIDENT,FOLLOWED TOO CLOSELY
71162,ACCIDENT,OTHER
96437,ACCIDENT,IMPROPER BACKING
71163,ACCIDENT,EXCEED SAFE/POSTED SPEED
71164,ACCIDENT,OTHER
90727,ACCIDENT,FOLLOWED TOO CLOSELY
71165,ACCIDENT,FOLLOWED TOO CLOSELY
71167,ACCIDENT,LANE VIOLATION
71166,ACCIDENT,FAILED TO YIELD ROW
71168,ACCIDENT,FOLLOWED TOO CLOSELY
71244,ACCIDENT,IMPROPER BACKING
90733,ACCIDENT,CARELESS DRIVING
71245,HIT & RUN,EXCEED SAFE/POSTED SPEED
71246,ACCIDENT,FAILED TO STOP AT SIGNAL
71247,ACCIDENT,CARELESS DRIVING
71248,ACCIDENT,CARELESS DRIVING
71249,HIT & RUN,FAILED TO YIELD ROW
69927,HIT & RUN,CARELESS DRIVING
71250,ACCIDENT,IMPROPER TURN
90734,ACCIDENT,LANE VIOLATION
71251,ACCIDENT,OTHER
71252,ACCIDENT,EXCEED SAFE/POSTED SPEED
71253,ACCIDENT,TURNED FROM WRONG LANE OR POSITION
71254,ACCIDENT,FOLLOWED TOO CLOSELY
71255,ACCIDENT,FOLLOWED TOO CLOSELY
90735,ACCIDENT,EXCEED SAFE/POSTED SPEED
71256,ACCIDENT,CARELESS DRIVING
71257,ACCIDENT,CARELESS DRIVING
71258,ACCIDENT,LANE VIOLATION
71259,HIT & RUN,OTHER
71260,ACCIDENT,  
90736,ACCIDENT,FAILED TO YIELD ROW
71261,ACCIDENT,FAILED TO YIELD ROW
71265,HIT & RUN,RECKLESS DRIVING
69930,ACCIDENT,EXCEED SAFE/POSTED SPEED
71262,ACCIDENT,OTHER
70231,HIT & RUN,LANE VIOLATION
71263,DUI/DUID,CARELESS DRIVING
71264,DUI/DUID,CARELESS DRIVING
71266,ACCIDENT,CARELESS DRIVING
90737,HIT & RUN,CARELESS DRIVING
71267,DUI/DUID,CARELESS DRIVING
71268,ACCIDENT,EXCEED SAFE/POSTED SPEED
71269,ACCIDENT,EXCEED SAFE/POSTED SPEED
71270,ACCIDENT,FAILED TO YIELD ROW
71367,ACCIDENT,  
90738,ACCIDENT,OTHER
71271,HIT & RUN,  
90826,HIT & RUN,IMPROPER BACKING
71352,ACCIDENT,CARELESS DRIVING
90984,ACCIDENT,CARELESS DRIVING
71353,ACCIDENT,FAILED TO YIELD ROW
71354,HIT & RUN,  
90825,ACCIDENT,EXCEED SAFE/POSTED SPEED
71355,ACCIDENT,EXCEED SAFE/POSTED SPEED
71356,ACCIDENT,CARELESS DRIVING
71357,ACCIDENT,TURNED FROM WRONG LANE OR POSITION
71360,ACCIDENT,CARELESS DRIVING
71359,ACCIDENT,EXCEED SAFE/POSTED SPEED
71361,ACCIDENT,CARELESS DRIVING
71362,HIT & RUN,CARELESS DRIVING
71364,HIT & RUN,EXCEED SAFE/POSTED SPEED
71363,HIT & RUN,CARELESS DRIVING
71365,ACCIDENT,EXCEED SAFE/POSTED SPEED
71366,ACCIDENT,OTHER
90827,ACCIDENT,EXCEED SAFE/POSTED SPEED
71369,HIT & RUN,FOLLOWED TOO CLOSELY
71370,HIT & RUN,CARELESS DRIVING
71371,ACCIDENT,IMPROPER BACKING
71372,ACCIDENT,EXCEED SAFE/POSTED SPEED
90828,ACCIDENT,EXCEED SAFE/POSTED SPEED
71351,ACCIDENT,EXCEED SAFE/POSTED SPEED
71373,ACCIDENT,FAILED TO YIELD ROW
71374,ACCIDENT,FOLLOWED TOO CLOSELY
71375,ACCIDENT,EXCEED SAFE/POSTED SPEED
90985,ACCIDENT,  
71376,POLICE,EXCEED SAFE/POSTED SPEED
90829,ACCIDENT,OTHER
71377,ACCIDENT,EXCEED SAFE/POSTED SPEED
71457,ACCIDENT,EXCEED SAFE/POSTED SPEED
71456,ACCIDENT,EXCEED SAFE/POSTED SPEED
71458,ACCIDENT,DISREGARD STOP SIGN
71459,ACCIDENT,IMPROPER BACKING
90842,HIT & RUN,IMPROPER BACKING
71460,ACCIDENT,IMPROPER TURN
71461,ACCIDENT,CARELESS DRIVING
71462,HIT & RUN,EXCEED SAFE/POSTED SPEED
71463,ACCIDENT,FOLLOWED TOO CLOSELY
71464,POLICE,OTHER
71465,ACCIDENT,FAILED TO STOP AT SIGNAL
90839,ACCIDENT,EXCEED SAFE/POSTED SPEED
71466,ACCIDENT,EXCEED SAFE/POSTED SPEED
71725,HIT & RUN,CARELESS DRIVING
71467,DUI/DUID,CARELESS DRIVING
71468,ACCIDENT,EXCEED SAFE/POSTED SPEED
122222,ACCIDENT,  
71469,ACCIDENT,FAILED TO YIELD ROW
71470,ACCIDENT,CARELESS DRIVING
90840,ACCIDENT,FAILED TO STOP AT SIGNAL
71471,ACCIDENT,EXCEED SAFE/POSTED SPEED
71473,HIT & RUN,EXCEED SAFE/POSTED SPEED
71474,SBI,CARELESS DRIVING
71475,HIT & RUN,OTHER
71476,DUI/DUID,CARELESS DRIVING
90841,HIT & RUN,DISREGARDED OTHER DEVICE
71478,ACCIDENT,CARELESS DRIVING
71479,ACCIDENT,EXCEED SAFE/POSTED SPEED
71480,ACCIDENT,CARELESS DRIVING
71481,HIT & RUN,LANE VIOLATION
90986,ACCIDENT,CARELESS DRIVING
69912,ACCIDENT,EXCEED SAFE/POSTED SPEED
69914,ACCIDENT,FAILED TO STOP AT SIGNAL
69915,ACCIDENT,OTHER
69917,HIT & RUN,CARELESS DRIVING
69918,ACCIDENT,EXCEED SAFE/POSTED SPEED
69919,ACCIDENT,EXCEED SAFE/POSTED SPEED
69916,ACCIDENT,EXCEED SAFE/POSTED SPEED
69920,ACCIDENT,FAILED TO YIELD ROW
